# Trim_Forces           
# Time                  	total_x                 	total_y                 	total_z                 
1.350000000000000e+01	+6.603097804223609e-02	+7.244644029477362e-01	-1.919616513378014e-18
1.360000038146973e+01	+6.657671238785358e-02	+6.925510864079919e-01	-1.807339266844705e-18
1.369999980926514e+01	+7.024153127761039e-02	+6.781826528609067e-01	-1.753041376837202e-18
1.380000019073486e+01	+7.186501105874300e-02	+6.692202176330404e-01	-1.734939574292747e-18
1.389999961853027e+01	+7.265825827516284e-02	+6.622280918251376e-01	-1.721070963487494e-18
1.400000000000000e+01	+7.168624373141730e-02	+6.564494650991696e-01	-1.704123820384885e-18
1.410000038146973e+01	+7.026462111766861e-02	+6.522498404243960e-01	-1.700274951386909e-18
1.419999980926514e+01	+6.957652678552159e-02	+6.501715739866266e-01	-1.728624177651021e-18
1.430000019073486e+01	+6.966420076730781e-02	+6.496761832496873e-01	-1.756778103007864e-18
1.439999961853027e+01	+7.027718785960138e-02	+6.517446068968918e-01	-1.783041861946703e-18
1.450000000000000e+01	+7.048733865496887e-02	+6.542286745887907e-01	-1.800461995197460e-18
1.460000038146973e+01	+7.145447535093519e-02	+6.623599666180694e-01	-1.829422173172687e-18
1.469999980926514e+01	+7.290796131465802e-02	+6.748747163494847e-01	-1.882479688847761e-18
1.480000019073486e+01	+7.144891825459927e-02	+6.761569781074436e-01	-1.911151000553150e-18
1.489999961853027e+01	+7.212624067860664e-02	+6.812767082384685e-01	-1.921657569703519e-18
1.500000000000000e+01	+7.209129130073633e-02	+6.853772652347101e-01	-1.944595587499544e-18
1.510000038146973e+01	+7.210081470889201e-02	+6.880131586284938e-01	-1.949457744323112e-18
1.519999980926514e+01	+7.154802402507193e-02	+6.887217956235594e-01	-1.949688395048192e-18
1.530000019073486e+01	+7.136700503081739e-02	+6.893934136954980e-01	-1.946876852846455e-18
1.539999961853027e+01	+7.126638493814523e-02	+6.895282701151593e-01	-1.951245697347856e-18
1.550000000000000e+01	+7.117263081320581e-02	+6.898793757486132e-01	-1.953186542169085e-18
1.560000038146973e+01	+7.178355866998518e-02	+7.368281724102038e-01	+2.281020386842887e-18
1.569999980926514e+01	+3.768800105105362e-02	+4.771881883521065e-01	+2.156523358384056e-18
1.580000019073486e+01	+5.017787022924038e-02	+5.405106864562140e-01	+2.143729202933994e-18
